"","OPEID","INSTNM","CITY","STABBR","ZIP","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","AGE_ENTRY","UGDS_WOMEN","MARRIED","FIRST_GEN","FAMINC","MN_EARN_WNE_P10","ST_FIPS","ADM_RATE","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","completion","transfer","LOCALE","CCUGPROF","Year"
"11",1019300,"Herzing University-Birmingham","Birmingham","AL",35209,0,0,0,0,0,0,0,0,0.0171,30.800369686,0.7031,0.2883548983,0.5281385281,31364.31821,NA,1,0.8214,NA,NA,NA,NA,NA,NA,0.3076923076923,0,NA,NA,"2008"
"12",101900,"Huntingdon College","Montgomery","AL",36106,0,0,0,0,0,0,0,0.0074,0.0344,23.814184397,0.5112,0.1475177305,0.4060606061,65645.11804,NA,1,0.6494,430,560,450,540,NA,NA,0.46060606060606,0,12,9,"2008"
"13",102000,"Jacksonville State University","Jacksonville","AL",36265,0.6276,0.2825,0.0104,0.0078,0.0057,0,0,0.0225,0.0435,22.943322981,0.5755,0.1275879917,0.4328485885,47247.23351,NA,1,0.8586,385,500,380,490,NA,NA,0.123701605288,0.31067044381491,13,13,"2008"
"14",102300,"Judson College","Marion","AL",36756,0,0,0,0,0,0,0,0.0127,0.0127,21.956730769,0.9714,0.1201923077,0.3526315789,57629.91983,NA,1,0.8355,450,720,470,630,430,640,0.43010752688172,0.38709677419354,43,9,"2008"
"15",102400,"University of West Alabama","Livingston","AL",35470,0,0,0,0,0,0,0,5e-04,0.0032,24.424157303,0.5972,0.1116573034,0.5133858268,35608.88482,NA,1,0.6825,350,780,240,530,390,520,0.16465863453815,0.26642335766423,43,13,"2008"
"16",102600,"Marion Military Institute","Marion","AL",36756,0.6482,0.2186,0.0553,0.0302,0.0126,0,0.005,0,0.0302,19.895652174,0.1709,NA,0.3954983923,55648.39168,NA,1,0.4503,460,600,470,620,NA,NA,NA,0,43,4,"2008"
"17",102900,"University of Mobile","Mobile","AL",36613,0.6449,0.2056,0.0119,0.0077,0.0281,0,7e-04,0.0239,0.0772,25.012936611,0.6554,0.1630012937,0.3958041958,59003.52351,NA,1,0.5586,500,700,450,650,500,700,0.22413793103448,0,41,13,"2008"
"18",100400,"University of Montevallo","Montevallo","AL",35115,0,0,0,0,0,0,0,0.0199,0.0477,21.79137931,0.6677,0.0810344828,0.4007386888,60200.47096,NA,1,0.7794,NA,NA,NA,NA,NA,NA,0.25250501002004,0,21,13,"2008"
"19",101600,"University of North Alabama","Florence","AL",35632,0,0,0,0,0,0,0,0,0.148,22.613782051,0.5591,0.1125801282,0.4657240788,52154.70855,NA,1,0.5089,360,480,390,550,NA,NA,0.13231552162849,0.34096692111959,13,13,"2008"
"20",103300,"Oakwood University","Huntsville","AL",35896,0,0,0,0,0,0,0,0.0559,0.024,21.114785992,0.5917,0.0379377432,0.2102396514,58271.04062,NA,1,0.5737,410,530,380,500,NA,NA,0.22121212121212,0,12,10,"2008"
"21",103600,"Samford University","Birmingham","AL",35229,0,0,0,0,0,0,0,0.0071,0.0195,21.088421053,0.642,0.0526315789,0.1790393013,104767.5775,NA,1,0.8936,510,630,500,610,NA,NA,0.00766871165644,0,21,14,"2008"
"22",105700,"University of South Alabama","Mobile","AL",36688,0.6612,0.1904,0.0224,0.0263,0.008,0.0068,0.002,0.0479,0.035,23.676240209,0.5893,0.1436031332,0.4125874126,49726.59871,NA,1,0.9024,NA,NA,NA,NA,NA,NA,0.13761467889908,0,12,13,"2008"
"23",104100,"Spring Hill College","Mobile","AL",36608,0,0,0,0,0,0,0,0.0046,0.0558,21.276176024,0.6506,0.0470409712,0.2760330579,77894.52646,NA,1,0.5751,500,600,470,610,490,590,0.52249134948096,0,12,14,"2008"
"24",2270400,"Southeastern Bible College","Birmingham","AL",35244,0.6465,0.2828,0,0.0051,0,0,0,0.0152,0.0505,28.979865772,0.3586,0.2416107383,0.4045801527,47288.68608,NA,1,0.9792,NA,NA,NA,NA,NA,NA,0.15384615384615,0,21,9,"2008"
"25",104400,"Stillman College","Tuscaloosa","AL",35401,0,0,0,0,0,0,0,0,0.0821,20.318693694,0.5401,0.0135135135,0.4220183486,34661.23738,NA,1,0.4531,383,488,380,480,NA,NA,0.10900473933649,0,13,11,"2008"
"26",104700,"Troy University","Troy","AL",36082,0,0,0,0,0,0,0,0.0189,0.0411,28.305378216,0.588,0.2684271619,0.4678555202,38773.80913,NA,1,0.6422,NA,NA,NA,NA,NA,NA,0.26016260162601,0.07834441980783,41,5,"2008"
"27",105000,"Tuskegee University","Tuskegee","AL",36088,0,0,0,0,0,0,0,0.0134,0.0921,19.676903391,0.5565,NA,0.3018181818,52484.08068,NA,1,0.5898,380,500,380,490,380,500,0.22764227642276,0,32,12,"2008"
"28",1146200,"University of Alaska Anchorage","Anchorage","AK",99508,0,0,0,0,0,0,0,0.0268,0.0461,25.278983934,0.6004,0.2103777681,0.3770735331,53513.93231,NA,2,0.6794,440,570,450,580,420,540,0.07593307593307,0.1375,NA,NA,"2008"
"29",106300,"University of Alaska Fairbanks","Fairbanks","AK",99775,0,0,0,0,0,0,0,0.0195,0.0597,25.029669261,0.5722,0.2125486381,0.4132369299,53094.9992,NA,2,0.7084,450,580,440,580,430,540,0.10344827586206,0.13779527559055,NA,NA,"2008"
"30",106500,"University of Alaska Southeast","Juneau","AK",99801,0,0,0,0,0,0,0,0.0096,0.09,27.550161812,0.6672,0.2508090615,0.4188679245,47469.86789,NA,2,0.7034,440,580,430,560,400,530,0.0379746835443,0.12857142857142,NA,NA,"2008"
"31",106100,"Alaska Pacific University","Anchorage","AK",99508,0,0,0,0,0,0,0,0.002,0.0182,25.975708502,0.6646,0.2145748988,0.3728070175,61715.03011,NA,2,0.9297,500,600,480,580,NA,NA,0.125,0,11,9,"2008"
"32",2295000,"Everest College-Phoenix","Phoenix","AZ",85021,0,0,0,0,0,0,0,6e-04,0.1445,29.607125062,0.8003,0.3019431988,0.5790092359,20484.09289,NA,4,0.7249,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"2008"
"33",2199900,"American Indian College Inc","Phoenix","AZ",85021,0,0,0,0,0,0,0,0.1414,0,25.830985915,0.5859,0.1408450704,0.4042553191,24428.64923,NA,4,0.8333,NA,NA,NA,NA,NA,NA,0.2,0,NA,NA,"2008"
"34",2317800,"American Institute of Technology","Phoenix","AZ",85043,0,0,0,0,0,0,0,0,0.058,38.626739262,0.1118,0.3847549909,0.5111111111,31044.63365,NA,4,0.5786,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"35",2100600,"Carrington College-Phoenix","Phoenix","AZ",85051,0,0,0,0,0,0,0.0126,0,0.0746,26.831807932,0.8065,0.2167396206,0.5523904714,29414.94361,NA,4,0.9914,NA,NA,NA,NA,NA,NA,NA,0,11,4,"2008"
"36",108100,"Arizona State University-Tempe","Tempe","AZ",85287,0,0,0,0,0,0,0,0.0215,0.0464,22.892756229,0.5161,0.1157633359,0.3590173088,66287.05975,NA,4,0.8206,470,590,480,610,NA,NA,0.29750574335411,0,12,15,"2008"
"37",108300,"University of Arizona","Tucson","AZ",85721,0.6458,0.0308,0.1702,0.0501,0.0145,0.0018,0.028,0.0273,0.0315,21.553298999,0.5232,0.0625789525,0.2899303751,74642.03213,NA,4,0.8054,480,600,500,620,NA,NA,0.32157491537502,0,11,13,"2008"
"38",2491500,"Southwest University of Visual Arts-Tucson","Tucson","AZ",85716,0,0,0,0,0,0,0,0,0.3211,26.601604278,0.5211,0.1390374332,0.3692307692,44463.87775,NA,4,0.7586,438,550,355,535,NA,NA,0,0,NA,NA,"2008"
"39",2561900,"Toni & Guy Hairdressing Academy","Scottsdale","AZ",85251,0,0,0,0,0,0,0,0,0.0208,22.898630137,0.8993,0.101369863,0.3168604651,54397.97455,NA,4,0.9241,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"40",1072702,"DeVry University-Arizona","Phoenix","AZ",85021,0,0,0,0,0,0,0,0.0061,0.0038,28.80675614,0.2805,0.2806771874,0.5005225065,40293.1597,NA,4,0.9058,NA,NA,NA,NA,NA,NA,0.31274131274131,0,11,5,"2008"
"41",147902,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",86301,0,0,0,0,0,0,0,0.0425,0.0921,24.233274258,0.1764,0.211564023,0.3374969974,71684.11024,NA,4,0.8616,470,600,500,640,NA,NA,0.31699346405228,0,41,14,"2008"
"42",107400,"Grand Canyon University","Phoenix","AZ",85017,0,0,0,0,0,0,0,0.0038,0.7638,35.403426414,0.7308,0.4440787882,0.5113609467,40303.9142,NA,4,0.9986,NA,NA,NA,NA,NA,NA,0.35678391959798,0,11,5,"2008"
"43",2361100,"ITT Technical Institute-Tucson","Tucson","AZ",85704,0,0.0315,0,0,0,0,0,0,0.063,26.682264857,0.1912,0.1951333645,0.5435028249,32161.61252,NA,4,0.5046,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"44",2065200,"ITT Technical Institute-Tempe","Tempe","AZ",85282,0,0.0785,0,0,0,0,0,0,0.0087,27.582768999,0.2154,0.2392776524,0.4877711121,31935.92331,NA,4,0.5478,NA,NA,NA,NA,NA,NA,0.78571428571428,0,NA,NA,"2008"
"45",108200,"Northern Arizona University","Flagstaff","AZ",86011,0,0,0,0,0,0,0,0.0245,0.0204,23.694590073,0.5936,0.1349693252,0.3472711803,65841.12115,NA,4,0.7433,470,580,470,590,450,560,0.31630283325592,0,13,13,"2008"
"46",2065300,"Prescott College","Prescott","AZ",86301,0.8466,0.0153,0.0725,0.0112,0.0126,0,0.0265,0.0098,0.0056,29.594178082,0.6025,0.2380136986,0.2725598527,52132.61212,NA,4,0.7709,490,650,450,570,470,590,0.27272727272727,0,13,9,"2008"
"47",711300,"Arizona Christian University","Phoenix","AZ",85032,0.8215,0.0446,0.0709,0.0315,0.0157,0.0026,0,0.0105,0.0026,23.045112782,0.4724,0.1278195489,0.314516129,64744.71949,NA,4,0.7615,429,635,398,631,423,589,0.425,0,11,13,"2008"
"48",108800,"Lyon College","Batesville","AR",72501,0,0,0,0,0,0,0,0.02,0.0423,20.978181818,0.5367,0.0472727273,0.3815261044,64665.65758,NA,5,0.6718,545,618,545,610,525,580,0.54867256637168,0,33,14,"2008"
"49",110800,"University of Arkansas","Fayetteville","AR",72701,0,0,0,0,0,0,0,0.0266,0.0144,21.855307896,0.487,0.0816018134,0.3177364527,75651.73629,NA,5,0.5766,500,630,520,640,NA,NA,0.33083762283575,0.24941506785212,13,15,"2008"
"50",108600,"University of Arkansas at Pine Bluff","Pine Bluff","AR",71601,0,0,0,0,0,0,0,0.0104,0.0027,21.505191874,0.5797,0.0347629797,0.4572810317,31699.87743,NA,5,0.5837,340,440,340,460,340,440,0.08848314606741,0.19522471910112,13,11,"2008"
"51",109000,"Arkansas State University-Main Campus","Jonesboro","AR",72401,0,0,0,0,0,0,0,0.0165,0.0747,24.06670728,0.5909,0.1883947609,0.5292699725,38912.83514,NA,5,0.7804,460,520,450,580,410,490,0.18908382066276,0.26380766731643,13,13,"2008"
"52",108900,"Arkansas Tech University","Russellville","AR",72801,0,0,0,0,0,0,0,0.0318,0,23.315536572,0.5324,0.1708489055,0.506866036,44371.04,NA,5,0.9233,420,480,450,530,NA,NA,0.17798796216681,0.30795551753635,33,7,"2008"
"53",3105200,"Baptist Health College-Little Rock","Little Rock","AR",72210,0,0,0,0,0,0,0,0,0.0322,28.008583691,0.8389,0.3505007153,0.4833597464,43194.52061,NA,5,0.3757,NA,NA,NA,NA,NA,NA,NA,0.28947368421052,12,-2,"2008"
"54",109200,"University of Central Arkansas","Conway","AR",72035,0,0,0,0,0,0,0,0.0339,0.0456,21.533145936,0.5655,0.0876083392,0.4161585366,55466.01169,NA,5,0.4863,NA,NA,NA,NA,NA,NA,0.2202718006795,0.19875424688561,13,13,"2008"
"55",109300,"Central Baptist College","Conway","AR",72034,0,0,0,0,0,0,0,0.0146,0,24.347593583,0.4672,0.2186666667,0.4398826979,50106.5255,NA,5,0.8101,NA,NA,NA,NA,NA,NA,0.29411764705882,0.16666666666666,13,13,"2008"
"56",109700,"Harding University","Searcy","AR",72143,0.856,0.0416,0.0235,0.0051,0.0065,5e-04,0.0116,0.0508,0.0044,21.159185804,0.5439,0.0835073069,0.2284768212,83093.46899,NA,5,0.7375,500,640,500,640,NA,NA,0.37883283877349,0.21463897131552,32,14,"2008"
"57",109800,"Henderson State University","Arkadelphia","AR",71999,0,0,0,0,0,0,0,0.0255,0.0129,21.888583974,0.5423,0.1015367728,0.4855072464,47318.54674,NA,5,0.6577,430,580,460,570,NA,NA,0.14748784440842,0.35656401944894,32,13,"2008"
"58",109900,"Hendrix College","Conway","AR",72032,0,0,0,0,0,0,0,0.0224,0.0403,19.453703704,0.5511,NA,0.162835249,107573.0136,NA,5,0.943,580,690,550,660,NA,NA,0.62776025236593,0,13,14,"2008"
"59",2330800,"Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR",71603,0.7761,0.2239,0,0,0,0,0,0,0,27.508474576,0.8657,0.406779661,NA,25194.37319,NA,5,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"60",110000,"John Brown University","Siloam Springs","AR",72761,0,0,0,0,0,0,0,0.0717,0.0108,25.141640043,0.5436,0.2502662407,0.291571754,67667.75358,NA,5,0.7388,490,640,510,640,NA,NA,0.58085808580858,0,32,15,"2008"
"61",110200,"Ouachita Baptist University","Arkadelphia","AR",71998,0,0,0,0,0,0,0,0.0299,0,19.81918239,0.5407,0.0283018868,0.2553897181,85350.75055,NA,5,0.6603,470,600,490,590,NA,NA,0.41919191919191,0,32,12,"2008"
"62",109400,"University of the Ozarks","Clarksville","AR",72830,0,0,0,0,0,0,0,0.1777,0.0094,20.199335548,0.5487,0.0598006645,0.4254545455,64280.20188,NA,5,0.6465,440,595,460,585,NA,NA,0.3,0,33,12,"2008"
"63",110300,"Philander Smith College","Little Rock","AR",72202,0,0,0,0,0,0,0,0.0206,0.0034,22.304964539,0.634,0.0567375887,0.4046242775,32350.82723,NA,5,0.911,330,530,390,530,340,510,0.09848484848484,0,NA,NA,"2008"
"64",570700,"Southeast Arkansas College","Pine Bluff","AR",71603,0,0,0,0,0,0,0,0,0,27.24275646,0.6953,0.1895066562,0.5800193986,21432.3816,NA,5,0.8634,NA,NA,NA,NA,NA,NA,NA,0.21212121212121,NA,NA,"2008"
"65",2202400,"Professional Cosmetology Education Center","El Dorado","AR",71730,0,0,0,0,0,0,0,0,0,25.638297872,0.9545,0.3404255319,NA,29106.93293,NA,5,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"66",110600,"Williams Baptist College","Walnut Ridge","AR",72476,0,0,0,0,0,0,0,0.0123,0,22.048991354,0.5257,0.144092219,0.4845679012,47076.60361,NA,5,0.6194,NA,NA,NA,NA,NA,NA,0.23853211009174,0,42,13,"2008"
"67",110700,"Southern Arkansas University Main Campus","Magnolia","AR",71753,0,0,0,0,0,0,0,0.0477,0,23.187288709,0.593,0.1359026369,0.5314417178,39949.50759,NA,5,0.7272,350,540,400,630,NA,NA,0.11641221374045,0.32504440497335,33,11,"2008"
"68",111000,"University of Arkansas-Fort Smith","Fort Smith","AR",72913,0,0,0,0,0,0,0,0.0015,0,24.318594436,0.5982,0.2108345534,0.5311148087,39859.79808,NA,5,0.6165,NA,NA,NA,NA,NA,NA,0.08695652173913,0.17269439421338,13,7,"2008"
"69",2120900,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA",95670,0,0.1075,0,0,0,0,0,0,0.007,26.701983003,0.1774,0.2141643059,0.5682295311,33460.92112,NA,6,0.5013,NA,NA,NA,NA,NA,NA,0.53846153846153,0,NA,NA,"2008"
"70",2258600,"Avalon School of Cosmetology-Alameda","Alameda","CA",94501,0,0,0,0,0,0,0,0,0,25.512562814,0.9854,0.0804020101,0.4868421053,21417.76291,NA,6,1,NA,NA,NA,NA,NA,NA,NA,0.01587301587301,NA,NA,"2008"
"71",2241800,"American Career College-Los Angeles","Los Angeles","CA",90004,0,0,0,0,0,0,0,0,0.0219,26.012722646,0.7812,0.169010312,0.5619158879,26110.34554,NA,6,0.8512,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"72",1112100,"Everest College-Hayward","Hayward","CA",94541,0,0,0,0,0,0,0,0.0056,0.0611,26.597816961,0.8556,0.1460957179,0.550245098,18965.74449,NA,6,0.484,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"73",111600,"Art Center College of Design","Pasadena","CA",91103,0,0,0,0,0.0075,0,0,0.2054,0,23.712781955,0.4163,0.045112782,0.2184466019,57414.469,NA,6,0.5963,NA,NA,NA,NA,NA,NA,0.71428571428571,0,12,11,"2008"
"74",902200,"Associated Technical College-Los Angeles","Los Angeles","CA",90017,0.1016,0.2557,0.6033,0.0393,0,0,0,0,0,29.930473373,0.5311,0.1834319527,0.816091954,9148.564254,NA,6,0.7322,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"2008"
"75",111700,"Azusa Pacific University","Azusa","CA",91702,0,0,0,0,0,0,0,0.0177,0.0823,24.401824941,0.6389,0.1747211896,0.3217677137,89520.98022,NA,6,0.734,480,590,480,590,NA,NA,0.51990049751243,0,21,13,"2008"
"76",112100,"Bethany University","Scotts Valley","CA",95066,0,0,0,0,0,0,0,0.0116,0.1302,24.524590164,0.5977,0.1344262295,0.4141791045,58699.18877,NA,6,0.7003,430,510,390,510,NA,NA,0.12048192771084,0,NA,NA,"2008"
"77",3266300,"Bethesda University","Anaheim","CA",92801,0,0,0,0.9947,0,0,0,0,0,41.705882353,0.5241,NA,NA,28436.2013,NA,6,0.9307,NA,NA,NA,NA,NA,NA,0,0.14166666666666,11,11,"2008"
"78",112200,"Biola University","La Mirada","CA",90639,0,0,0,0,0,0,0,0.0221,0.0221,21.117378049,0.6105,0.049796748,0.232832618,92659.06466,NA,6,0.8117,500,640,490,610,490,610,0.52591463414634,0,21,13,"2008"
"79",112300,"Brooks Institute","Ventura","CA",93001,0,0,0,0,0,0,0,0,0.3057,22.223021583,0.4586,0.0374100719,0.280620155,87441.95729,NA,6,0.3234,NA,NA,NA,NA,NA,NA,0.04857142857142,0,21,7,"2008"
"80",112500,"California Baptist University","Riverside","CA",92504,0,0,0,0,0,0,0,0.0342,0.0827,23.25245098,0.6426,0.1343137255,0.3507340946,77297.17304,NA,6,0.7408,470,560,508,560,505,550,0.4331550802139,0,11,11,"2008"
"81",113100,"California Institute of Technology","Pasadena","CA",91125,0,0,0,0,0,0,0,0.1129,0.0217,19.35,0.3377,NA,NA,95442.6069,NA,6,0.1736,700,760,770,800,690,770,0.80555555555555,0,12,14,"2008"
"82",113300,"California Lutheran University","Thousand Oaks","CA",91360,0,0,0,0,0,0,0,0.0437,0.0892,22.382249561,0.5687,0.0711775044,0.3273584906,97153.56502,NA,6,0.6479,500,590,490,610,500,600,0.59214501510574,0.2416918429003,12,15,"2008"
"83",114300,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",93407,0,0,0,0,0,0,0,0.0082,0.093,20.450944914,0.4351,0.0259348613,0.2785378367,91522.20331,NA,6,0.448,520,620,560,670,NA,NA,0.22884990253411,0.22768031189083,23,14,"2008"
"84",799300,"California State University-Bakersfield","Bakersfield","CA",93311,0,0,0,0,0,0,0,0.0176,0.1754,24.61546782,0.6638,0.1546782044,0.5372430064,41174.17375,NA,6,0.4778,390,510,410,530,NA,NA,0.14580265095729,0.34315169366715,11,11,"2008"
"85",115700,"California State University-Stanislaus","Turlock","CA",95382,0,0,0,0,0,0,0,0.0134,0.1281,23.575327511,0.6431,0.1260917031,0.5250677507,45997.2798,NA,6,0.6527,410,530,420,540,NA,NA,0.21090909090909,0.3,23,11,"2008"
"86",114200,"California State University-San Bernardino","San Bernardino","CA",92407,0,0,0,0,0,0,0,0.0273,0.0814,24.083442494,0.6462,0.1341367566,0.4962406015,44332.54669,NA,6,0.6112,380,490,390,510,NA,NA,0.12230835486649,0.32730404823428,12,11,"2008"
"87",114400,"California State Polytechnic University-Pomona","Pomona","CA",91768,0,0,0,0,0,0,0,0.0529,0.0794,22.125818085,0.4253,0.0595699212,0.4455950295,50064.18791,NA,6,0.6879,430,550,470,590,NA,NA,0.12902019446522,0.34255796559461,21,13,"2008"
"88",114600,"California State University-Chico","Chico","CA",95929,0,0,0,0,0,0,0,0.0204,0.0927,22.384628378,0.5168,0.0711148649,0.3646087446,63287.54949,NA,6,0.8121,440,550,460,570,NA,NA,0.18646616541353,0.35037593984962,13,13,"2008"
"89",114100,"California State University-Dominguez Hills","Carson","CA",90747,0,0,0,0,0,0,0,0.0152,0.0843,26.235370131,0.6773,0.1271921728,0.4989127809,33636.4131,NA,6,0.1208,360,460,350,460,NA,NA,0.04444444444444,0.47936507936507,13,7,"2008"
"90",114700,"California State University-Fresno","Fresno","CA",93740,0,0,0,0,0,0,0,0.0256,0.0719,22.488204869,0.574,0.0982717295,0.4741263441,45349.81486,NA,6,0.6878,390,510,410,540,NA,NA,0.15806304248515,0.32252169940612,11,11,"2008"
"91",113700,"California State University-Fullerton","Fullerton","CA",92831,0,0,0,0,0,0,0,0.0341,0.0845,22.930654569,0.5769,0.0759883344,0.448173647,48834.49485,NA,6,0.6048,430,530,440,560,NA,NA,0.14615618353084,0.3436645396536,21,13,"2008"
"92",113800,"California State University-East Bay","Hayward","CA",94542,0,0,0,0,0,0,0,0.0624,0.1492,25.30784635,0.6119,0.1148734753,0.4278898287,40858.89821,NA,6,0.7066,390,510,400,520,NA,NA,0.15951742627345,0.36729222520107,12,11,"2008"
"93",113900,"California State University-Long Beach","Long Beach","CA",90840,0,0,0,0,0,0,0,0.0428,0.0743,22.413190237,0.5961,0.0542669205,0.4375777686,49092.7134,NA,6,0.4699,440,550,450,580,NA,NA,0.1253434065934,0.27369505494505,11,13,"2008"
"94",114000,"California State University-Los Angeles","Los Angeles","CA",90032,0,0,0,0,0,0,0,0.058,0.0866,24.110103047,0.6112,0.0850134409,0.5727437368,31768.31033,NA,6,0.6185,380,480,380,490,NA,NA,0.08262108262108,0.44800569800569,11,11,"2008"
"95",115300,"California State University-Northridge","Northridge","CA",91330,0,0,0,0,0,0,0,0.0546,0.1257,22.831360947,0.5661,0.0689576695,0.450791907,43537.10898,NA,6,0.6866,410,520,410,540,NA,NA,0.09167604049493,0.41451068616422,11,11,"2008"
"96",115000,"California State University-Sacramento","Sacramento","CA",95819,0,0,0,0,0,0,0,0.0099,0.1276,23.535274254,0.5762,0.1021264945,0.4116365221,46769.86261,NA,6,0.6672,410,530,430,550,NA,NA,0.09293523969722,0.42472666105971,11,11,"2008"
"97",131200,"University of California-Berkeley","Berkeley","CA",94720,0,0,0,0,0,0,0,0.0427,0.0773,21.139047185,0.5323,0.0362434465,0.3213056228,59797.10558,NA,6,0.2322,580,710,620,750,590,710,0.63852459016393,0,12,15,"2008"
"98",131300,"University of California-Davis","Davis","CA",95616,0,0,0,0,0,0,0,0.0206,0.0619,20.648837667,0.5611,0.030535855,0.3811268896,61976.72858,NA,6,0.5861,490,630,540,660,500,630,0.47238340855362,0,23,15,"2008"
"99",131400,"University of California-Irvine","Irvine","CA",92697,0,0,0,0,0,0,0,0.0271,0.061,20.409598871,0.5254,0.0223503117,0.2916831945,68366.7976,NA,6,0.556,510,610,550,670,520,630,0.59576078728236,0.13373706787787,12,15,"2008"
"100",131500,"University of California-Los Angeles","Los Angeles","CA",90095,0,0,0,0,0,0,0,0.0448,0.0463,21.145412939,0.5537,0.0292282089,0.3270308123,62149.04121,NA,6,0.2357,560,680,600,730,570,690,0.64880112834978,0,11,15,"2008"
"101",131600,"University of California-Riverside","Riverside","CA",92521,0,0,0,0,0,0,0,0.0175,0.0505,20.232805542,0.5183,0.0263483424,0.3947712418,60478.69677,NA,6,0.8668,450,560,470,610,450,560,0.3942417331813,0,11,15,"2008"
"102",131700,"University of California-San Diego","La Jolla","CA",92093,0,0,0,0,0,0,0,0.0324,0.0739,20.543478261,0.5215,0.0233943942,0.3511610672,58235.73728,NA,6,0.4224,540,660,590,700,550,670,0.55903841621494,0,11,15,"2008"
"103",132000,"University of California-Santa Barbara","Santa Barbara","CA",93106,0,0,0,0,0,0,0,0.0118,0.0664,20.113017015,0.5425,0.0131415133,0.3504179152,75782.42757,NA,6,0.544,530,640,540,660,530,640,0.52056588944197,0.10007859575582,22,15,"2008"
